segment,model,row_count,mae,rmse,mape_percent
all_validation,baseline_lag_1,1480,0.12327432432432431,0.5935995248868937,2.1091490865451314
all_validation,ridge,1480,0.1615777887279923,0.6049082844278711,2.9509647435391013
all_validation,gradient_boosting,1480,0.17787283293983916,0.582012093255731,3.068848614911177
price_change,baseline_lag_1,301,0.6061328903654485,1.316258396407391,10.37056693716543
price_change,ridge,301,0.6011047930226373,1.3248956580173952,10.456241968376398
price_change,gradient_boosting,301,0.599776148518853,1.265576751618526,10.486909429425467
large_change_relative_top_25_percent,baseline_lag_1,76,1.6221184210526314,2.538320328899657,25.04968365169192
large_change_relative_top_25_percent,ridge,76,1.597771758957913,2.5531005517016583,24.34126508347251
large_change_relative_top_25_percent,gradient_boosting,76,1.57524223743047,2.421929192926973,24.5332530160103
