sequence_length,split,series_id,sequence_count
30,validation,12,32
30,validation,13,32
30,validation,14,32
30,validation,16,32
30,validation,17,32
30,validation,18,32
30,validation,19,32
30,validation,20,32
30,validation,21,32
30,validation,22,32
30,validation,23,32
30,validation,24,32
30,validation,25,32
30,validation,26,32
30,validation,28,32
30,validation,29,32
30,validation,30,32
30,validation,31,32
30,validation,32,32
30,validation,33,32
30,validation,34,32
30,validation,35,32
30,validation,36,32
30,validation,37,32
30,validation,38,32
30,validation,39,32
30,validation,40,32
30,validation,41,32
30,validation,44,32
30,validation,50,20
30,validation,51,20
30,validation,52,32
30,validation,53,32
30,validation,54,32
30,validation,55,32
30,validation,56,32
30,validation,57,32
30,validation,58,32
30,validation,59,32
30,validation,60,32
30,validation,61,32
30,test,3,32
30,test,4,32
30,test,6,32
30,test,8,32
30,test,10,32
30,test,11,32
30,test,12,32
30,test,13,32
30,test,14,32
30,test,16,32
30,test,17,23
30,test,18,32
30,test,19,32
30,test,20,32
30,test,21,32
30,test,22,32
30,test,23,32
30,test,24,32
30,test,25,32
30,test,26,32
30,test,28,32
30,test,29,32
30,test,30,32
30,test,31,32
30,test,32,32
30,test,33,32
30,test,34,32
30,test,35,32
30,test,36,32
30,test,37,32
30,test,38,32
30,test,39,32
30,test,40,32
30,test,41,12
30,test,44,32
30,test,50,32
30,test,51,32
30,test,52,32
30,test,53,32
30,test,54,32
30,test,55,32
30,test,56,32
30,test,57,32
30,test,58,32
30,test,59,32
30,test,60,32
30,test,61,32
