model,horizon,row_count,mae,rmse,mape_percent
baseline_lag_1,1,1062,0.10321092278719399,0.4763802900949623,1.9014808839030273
baseline_lag_1,2,691,0.16992908827785816,0.6245742573100144,3.0967923852823547
baseline_lag_1,3,644,0.20034627329192545,0.6024306472803393,3.6561973390667095
baseline_lag_1,4,644,0.2421614906832298,0.6742480490717185,4.233610437218298
baseline_lag_1,5,647,0.3039319938176198,0.8702046375898279,5.113545866246187
baseline_lag_1,6,739,0.37363599458728014,0.9715485644014548,6.4000306132796725
baseline_lag_1,7,783,0.417228607918263,1.0294337095957695,7.261369265730387
gradient_boosting,1,1062,0.15203157949986637,0.49812297142800643,2.6743261935862455
gradient_boosting,2,691,0.2404358077592356,0.6744190080971995,4.164940854448007
gradient_boosting,3,644,0.2743151378897099,0.6397127743251636,4.995221500577272
gradient_boosting,4,644,0.3250047632743363,0.7247466971094444,5.7319670408754995
gradient_boosting,5,647,0.3704764946131125,0.8252272228312857,6.553258123961281
gradient_boosting,6,739,0.4404382315705898,0.9313812571181723,8.048508759547298
gradient_boosting,7,783,0.5000147049863438,1.0319029353122116,9.08726768403393
ridge,1,1062,0.13472481685034976,0.4880056625453147,2.5210058097264785
ridge,2,691,0.20742992499388765,0.6403478173031676,3.73128052074981
ridge,3,644,0.24416482957993976,0.6164415382631212,4.656201601355657
ridge,4,644,0.29832174818560203,0.6918366408479757,5.555179911404674
ridge,5,647,0.34640729076379606,0.8684175709050823,6.2251192280697465
ridge,6,739,0.42830323474300724,0.9949877369168735,8.003505339015776
ridge,7,783,0.47452052063046746,1.0364737809916604,9.011705218950885
