model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2
baseline_lag_1,3,32,0.005187499999999998,0.014673530590829181,0.6563040703006864,0,0.6912075091700782
baseline_lag_1,4,32,0.0,0.0,0.0,0,
baseline_lag_1,6,32,0.010937499999999989,0.06187184335382284,0.34179687499999967,0,0.7142857142857143
baseline_lag_1,8,32,0.0,0.0,0.0,0,
baseline_lag_1,10,32,0.0,0.0,0.0,0,
baseline_lag_1,11,32,0.0,0.0,0.0,0,
baseline_lag_1,12,32,0.0,0.0,0.0,0,
baseline_lag_1,13,32,0.0,0.0,0.0,0,
baseline_lag_1,14,32,0.0,0.0,0.0,0,
baseline_lag_1,16,32,0.32343749999999993,0.5429347336466879,4.769908865217126,0,0.9027467779631431
baseline_lag_1,17,23,0.02608695652173919,0.12510864843424516,0.11594202898550753,0,0.8174603174603174
baseline_lag_1,18,32,0.12265625000000002,0.40521502779388635,1.6052982646475287,0,0.9174699083476189
baseline_lag_1,19,32,0.23093750000000002,0.4606076150043549,3.8996936602714096,0,0.8543066156502331
baseline_lag_1,20,32,0.52625,1.1068847049263986,9.098200316605807,0,0.34264756705935984
baseline_lag_1,21,32,0.018750000000000003,0.06750000000000006,0.8320332395374753,0,0.923197977230676
baseline_lag_1,22,32,0.6015625,1.4725880703713443,2.537266187712402,0,0.9441105029207797
baseline_lag_1,23,32,0.4324062499999999,0.9854172498236469,4.804254595908794,0,0.772107379849436
baseline_lag_1,24,32,0.0,0.0,0.0,0,
baseline_lag_1,25,32,0.0,0.0,0.0,0,
baseline_lag_1,26,32,0.47187500000000004,0.8633600784145629,2.6855196783323048,0,0.6856960791277662
baseline_lag_1,28,32,0.0034062499999999857,0.008501838036565934,0.2713338618887474,0,0.10616252249206459
baseline_lag_1,29,32,0.26359375,0.4707532195853789,6.879772005168455,0,0.5532207954827355
baseline_lag_1,30,32,0.20625000000000004,0.3588719304988898,4.751803636552028,0,0.490051548758649
baseline_lag_1,31,32,0.32499999999999996,0.7279423054061359,7.01477267563082,0,0.751030670227923
baseline_lag_1,32,32,0.020000000000000018,0.03807886552931958,0.8399707503298893,0,0.6025695931477516
baseline_lag_1,33,32,0.67375,1.1219152151566534,10.519634266928833,0,0.8636669574761013
baseline_lag_1,34,32,0.385625,0.6763689821391871,12.238293312458822,0,0.6998913802144144
baseline_lag_1,35,32,0.2734375,0.8353984827613706,2.1406212560995814,0,0.8174363323770524
baseline_lag_1,36,32,0.08124999999999999,0.18833148966649205,1.8039465473463314,0,0.947459737244439
baseline_lag_1,37,32,0.026250000000000023,0.054083269131959884,1.0861101644356288,0,0.7795572303344325
baseline_lag_1,38,32,0.02571875,0.08570643937301325,0.7134971118214111,0,0.8808595253174507
baseline_lag_1,39,32,0.078125,0.29315098498896436,0.4960161964472309,0,0.8393427658603377
baseline_lag_1,40,32,0.01803125,0.049535656349744654,0.7689781671518849,0,0.7921795035940356
baseline_lag_1,41,12,0.14491666666666672,0.31613354245740305,2.9229979522992027,0,0.792041224662402
baseline_lag_1,44,32,0.015625,0.05513562822712732,0.505124306577842,0,0.8651357276837771
baseline_lag_1,50,32,0.321875,0.5976516543940961,1.4301650066824305,0,0.8600759758070995
baseline_lag_1,51,32,0.07437500000000002,0.13532368602724357,1.420218948462478,0,0.38418695075334575
baseline_lag_1,52,32,0.03540624999999997,0.1601995825525147,0.4115779630041698,0,0.8266272229322544
baseline_lag_1,53,32,0.006250000000000033,0.03535533905932756,0.0655617329277251,0,0.46666666666666656
baseline_lag_1,54,32,0.02081250000000001,0.11773327906756023,0.13573664644883593,0,0.7629629629629628
baseline_lag_1,55,32,0.0078125,0.03850730450187339,0.3082045666427818,0,0.8833139932527454
baseline_lag_1,56,32,0.0078125,0.03850730450187345,0.2982047512536527,0,0.8833139932527453
baseline_lag_1,57,32,0.0,0.0,0.0,0,
baseline_lag_1,58,32,0.003124999999999989,0.017677669529663625,0.030048076923076816,0,0.762962962962963
baseline_lag_1,59,32,0.021874999999999922,0.08838834764831813,0.16172959771691947,0,0.6687370600414079
baseline_lag_1,60,32,0.009375000000000022,0.05303300858899119,0.09375000000000022,0,0.4666666666666667
baseline_lag_1,61,32,0.009375000000000022,0.05303300858899119,0.06944444444444461,0,0.4666666666666667
gradient_boosting,3,32,0.02166359450060232,0.030341245026349453,2.8122215459593853,0,-0.3202746434460051
gradient_boosting,4,32,0.00029615899446532035,0.0015366201044421553,0.010577106945190014,0,
gradient_boosting,6,32,0.01657417295720416,0.06314548286713674,0.5056070063157461,0,0.7024017161311632
gradient_boosting,8,32,0.08101428702123215,0.08102831722770723,0.6481142961698572,0,
gradient_boosting,10,32,0.06267453838489626,0.06269267304043756,0.9726030165253918,0,
gradient_boosting,11,32,0.1306113484584347,0.1306200514366995,0.7857739649767461,0,
gradient_boosting,12,32,0.04070452587342746,0.04073244306171555,0.7400822886077719,0,
gradient_boosting,13,32,0.05223742691534128,0.05225918351764592,0.20272995271215616,0,
gradient_boosting,14,32,0.02046539510068332,0.02052086469480384,0.2829447684319552,0,
gradient_boosting,16,32,0.4001122697179319,0.5739962017303335,5.714986278860815,0,0.8913006909147387
gradient_boosting,17,23,0.3488729404969091,0.43688451021833874,1.5515715927747797,0,-1.2259526414715864
gradient_boosting,18,32,0.1689177139529956,0.39809947517464767,2.291749752341769,0,0.9203429074037043
gradient_boosting,19,32,0.25592639663763633,0.45274322258895733,4.406455922635734,0,0.8592392669067002
gradient_boosting,20,32,0.541325489236937,1.074938168868158,9.692226590460384,0,0.38004456730741054
gradient_boosting,21,32,0.03696127294041578,0.07001825688274954,1.7899965578023271,0,0.9173604959468188
gradient_boosting,22,32,1.327777988198748,1.9769395242465433,5.503441575357076,0,0.8992710250938112
gradient_boosting,23,32,0.4298206920327692,0.9551309549003051,4.786410402219139,0,0.7859004366115576
gradient_boosting,24,32,0.05334065902149454,0.053361965818761965,0.6617947769416197,0,
gradient_boosting,25,32,0.061392469645241615,0.061410982896687845,0.9966310007344419,0,
gradient_boosting,26,32,0.6948181637130569,0.9374029956693413,3.894777302770616,0,0.6294741205875651
