model,series_count,mae_median,mae_p90,mae_max,mae_std,direction_accuracy_median_percent
baseline_lag_1,44,0.07223463261648749,0.5916891452991454,0.9787309493401447,0.24742402517839326,0.0
gradient_boosting,44,0.1279399887108229,0.5659639085201296,0.9221977601778713,0.22137835013781956,54.006410256410255
ridge,44,0.13162567187731888,0.5540694270266757,0.9053369579696818,0.2223027038612038,55.3968253968254
xgboost,44,0.12960796077236125,0.5598515055774929,0.9221190190711088,0.22075322827602595,53.0690737833595
