model,series_id,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,direction_accuracy_percent
baseline_lag_1,3,261,0.054126670923797346,0.07395632731876366,5.378964514075846,0,0.9201915199828314,0.0
baseline_lag_1,6,261,0.020643358876117682,0.08596916600884953,0.5142700537301867,0,0.9592345901183084,0.0
baseline_lag_1,8,261,0.012361111111111404,0.03589425195388618,0.0956459276047881,0,0.8961128540072109,0.0
baseline_lag_1,10,261,0.01773991060025546,0.03712435563037594,0.2893367026418757,0,0.993341693823127,0.0
baseline_lag_1,11,261,0.03137068965517272,0.061531540789419595,0.19915827265972585,0,0.9791462771442812,0.0
baseline_lag_1,12,261,0.015091443167305233,0.029920381256918965,0.296242118870178,0,0.9811646599019913,0.0
baseline_lag_1,13,261,0.044092911877394926,0.11609556600462582,0.1668347137896796,0,0.9654984553490825,0.0
baseline_lag_1,14,261,0.012465708812260784,0.025906380944631494,0.17184865686642006,0,0.9334092418276291,0.0
baseline_lag_1,16,261,0.9787309493401447,1.386766217765944,10.950439591061778,0,0.8706623895816056,0.0
baseline_lag_1,17,245,0.029933197278911555,0.08910201559402359,0.13158214953971592,0,0.8355897031575571,0.0
baseline_lag_1,18,170,0.5738472222222222,0.8073418942488565,7.875836425449332,0,0.787033875912671,0.0
baseline_lag_1,19,261,0.5631598552575565,0.7544551906056173,10.888090209410569,0,0.7380765984310754,0.0
baseline_lag_1,20,170,0.6164565359477125,0.9305857450278008,10.029304364086315,0,0.8687491851303408,0.0
baseline_lag_1,21,261,0.04929161345253296,0.06910918647795983,2.928936477535899,0,0.9261508157216188,0.0
baseline_lag_1,22,261,0.8997818220519369,1.3278134244232207,6.064497746966673,0,0.8759146770612753,0.0
baseline_lag_1,23,260,0.4393661752136753,0.5874450031103922,7.263118382185245,0,0.9103062700262231,0.0
baseline_lag_1,24,261,0.021091954022988524,0.051400813109212115,0.25105908177283115,0,0.9203889372492657,0.0
baseline_lag_1,25,261,0.09476798637718184,0.21472064842738256,1.386980728329565,0,0.9223680442950131,0.0
baseline_lag_1,26,170,0.45091186274509815,0.7250995007356845,6.682123393678312,0,0.9731926031483003,0.0
baseline_lag_1,28,251,0.01910869853917665,0.03224882579889547,1.9987475575825246,0,0.9713312701771735,0.0
baseline_lag_1,29,261,0.20127247765006384,0.2964663120429764,8.052272960875086,0,0.8603211755272009,0.0
baseline_lag_1,30,261,0.1846532992762878,0.24828012381435885,6.378946473474291,0,0.8164027371795146,0.0
baseline_lag_1,31,170,0.176035294117647,0.3167075687378825,5.099816157332285,0,0.8262091456976215,0.0
baseline_lag_1,32,170,0.10800392156862745,0.14484531753933882,5.122787931821881,0,0.7655655678901865,0.0
baseline_lag_1,33,257,0.6040045395590143,0.8356120073351109,11.66554300272535,0,0.8432220351399935,0.0
baseline_lag_1,34,261,0.2737082801191997,0.42954794272960434,12.884931503052854,0,0.6953249665159269,0.0
baseline_lag_1,35,130,0.5993356837606838,1.1313128057127515,7.430712009710534,0,0.05665964893610209,0.0
baseline_lag_1,36,261,0.16376521924223075,0.22631922546630073,3.6147418838485197,0,0.7610255283385766,0.0
baseline_lag_1,37,261,0.13898697318007658,0.20091746924073076,6.130109725624071,0,0.7129192550187872,0.0
baseline_lag_1,38,261,0.07867222222222219,0.11345885297398885,2.1178635382262465,0,0.9575288153941679,0.0
baseline_lag_1,39,105,0.23652592592592578,0.31241303608306503,2.5987622274639617,0,0.867933912882274,0.0
baseline_lag_1,40,261,0.02777443593018305,0.040788825534884034,1.1612283317586365,0,0.9385504546096468,0.0
baseline_lag_1,41,196,0.11864160997732422,0.16346668380698434,2.2752777616792073,0,0.9801546038551362,0.0
baseline_lag_1,44,261,0.05703831417624519,0.07949803989885706,1.9776121734405219,0,0.9451777993265009,0.0
baseline_lag_1,51,193,0.1944689119170985,0.2530095248411291,3.133647887894627,0,0.5090398113038741,0.0
baseline_lag_1,52,261,0.05355059599829718,0.11452440693663143,0.5280181000458404,0,0.9527230677190288,0.0
baseline_lag_1,53,261,0.02993763303533406,0.07634543989309128,0.2883704839241662,0,0.9731597912838215,0.0
baseline_lag_1,54,261,0.044011196253725134,0.09806151478339455,0.3116012018585492,0,0.9601320830487519,0.0
baseline_lag_1,55,224,0.009364583333333341,0.01871893921983487,0.4122519504816872,0,0.98463664149992,0.0
baseline_lag_1,56,261,0.014885057471264352,0.02736219757628367,0.6192329845605052,0,0.9534384473626207,0.0
baseline_lag_1,57,261,0.08677522349936159,0.1973959760215756,0.613005305341259,0,0.6704922920629783,0.0
baseline_lag_1,58,248,0.0657970430107528,0.1063219775174719,0.6330632349189221,0,0.8378877915051366,0.0
baseline_lag_1,60,261,0.014246487867177606,0.040011306405470695,0.12308691801265494,0,0.8604718206243598,0.0
baseline_lag_1,61,261,0.0051532567049833704,0.01904292612321396,0.03687506004265669,0,0.8642813504549361,0.0
gradient_boosting,3,261,0.1927072985120227,0.2506223538522988,24.501946086981256,0,0.08348837706011081,51.34099616858238
gradient_boosting,6,261,0.05369440092419059,0.10611340753634649,1.3879996358589823,0,0.93789209101601,49.54128440366973
gradient_boosting,8,261,0.045174784424880945,0.06630811489606765,0.3495133726030669,0,0.645476225720661,40.38461538461539
gradient_boosting,10,261,0.05326452433076635,0.0620697441654464,0.866207086804845,0,0.9813874522889755,58.47457627118644
gradient_boosting,11,261,0.1188795370290243,0.15271330174813783,0.7495081422722645,0,0.8715477396336337,47.008547008547005
gradient_boosting,12,261,0.05149403818829682,0.06979750129129988,1.038982953144908,0,0.8975011551700409,33.33333333333333
gradient_boosting,13,261,0.18565895984484324,0.2630296099543429,0.7101071873925296,0,0.8229008182756838,67.3469387755102
gradient_boosting,14,261,0.06945553014281139,0.08461031717588324,0.9567295402276436,0,0.28969133770177447,46.808510638297875
gradient_boosting,16,261,0.9221977601778713,1.2854932562484187,10.535135017286914,0,0.8888631889142208,62.45210727969349
gradient_boosting,17,245,0.07406082131604375,0.1252402079348774,0.32472614854247667,0,0.6751809314467161,66.66666666666666
gradient_boosting,18,170,0.5264184916670134,0.7534826258463352,7.247121338049419,0,0.8145008031684329,65.29411764705883
gradient_boosting,19,261,0.5326678167932386,0.7049670685757441,10.28067407427623,0,0.7713111130221176,63.46153846153846
gradient_boosting,20,170,0.5834188904275125,0.8926075374554526,9.553830063085066,0,0.8792435556376633,65.29411764705883
gradient_boosting,21,261,0.07573086316277926,0.0927540258607563,4.61177781384695,0,0.8669730363193253,52.71317829457365
gradient_boosting,22,261,0.8873944425935809,1.2717968559658497,6.024998766390722,0,0.8861634306499019,60.231660231660236
gradient_boosting,23,260,0.4371737422883928,0.578676393317207,7.3425126577680135,0,0.9129639468250654,53.46153846153846
gradient_boosting,24,261,0.04979169300912265,0.08078824131180591,0.5975226420658275,0,0.8033337887508784,50.83333333333333
gradient_boosting,25,261,0.12475721975926354,0.22339306550282542,1.8371035168181498,0,0.9159704026403404,56.44171779141104
gradient_boosting,26,170,0.4271204960837821,0.6775806242281391,6.6774210540909875,0,0.9765910793950775,52.94117647058824
gradient_boosting,28,251,0.1383982943065436,0.15508885124498759,14.466380908009716,0,0.33695684264384196,50.607287449392715
gradient_boosting,29,261,0.20505001790969296,0.29128693796249944,8.411810491561498,0,0.8651590231789933,53.07692307692308
gradient_boosting,30,261,0.1906436430438338,0.2557584312324636,6.6000200253952475,0,0.8051761082663821,50.95785440613027
gradient_boosting,31,170,0.16375252175569247,0.29504046262459893,4.840496900550335,0,0.8491750485868722,61.76470588235294
gradient_boosting,32,170,0.11102805823206924,0.1454528147082819,5.363668311210046,0,0.7635949565493085,53.84615384615385
gradient_boosting,33,257,0.5802336621173684,0.7997145568021139,11.381284730397857,0,0.8564028960083248,64.2023346303502
gradient_boosting,34,261,0.2670692697339978,0.3917726879759463,13.284277073834591,0,0.7465560705011787,54.78927203065134
gradient_boosting,35,130,0.6063043917433194,1.0959029899555308,7.5848438018488045,0,0.1147881294441202,57.692307692307686
gradient_boosting,36,261,0.1665250001076495,0.22332510626255253,3.7064769142009366,0,0.7673067891058017,55.5984555984556
gradient_boosting,37,261,0.14182422544202283,0.1981572707563606,6.371714327184036,0,0.720752887972032,56.70498084291188
gradient_boosting,38,261,0.09530668695057204,0.12526156972971358,2.56885163490276,0,0.9482329643319238,41.63424124513619
gradient_boosting,39,105,0.2729472222761797,0.3531676694015608,2.997862112149464,0,0.8312301382540735,56.19047619047619
gradient_boosting,40,261,0.041606300167441886,0.052077523784133654,1.7254050102794067,0,0.8998301726741015,59.12698412698413
gradient_boosting,41,196,0.13112275766238224,0.17954466899232166,2.4878741977442327,0,0.9760587789133368,53.57142857142857
gradient_boosting,44,261,0.06354747139215985,0.08511341583943156,2.2139783800790136,0,0.9371594953615933,56.126482213438734
gradient_boosting,51,193,0.20385561314584702,0.26751631782930213,3.288035041771109,0,0.4511254535194751,47.12041884816754
gradient_boosting,52,261,0.09540117497855244,0.12651441713358558,0.9484433517386032,0,0.9423056581868462,64.16666666666667
gradient_boosting,53,261,0.10159470357138276,0.12366096315326701,0.97867480858511,0,0.9295817975714954,39.02439024390244
gradient_boosting,54,261,0.1415119972402693,0.1912226612829891,0.9858498821805121,0,0.8483979528616115,47.61904761904761
gradient_boosting,55,224,0.037703525541024484,0.042772651981482925,1.738748800548037,0,0.919784914120475,63.39285714285714
gradient_boosting,56,261,0.034435051737255515,0.04576818695149545,1.4657842380359516,0,0.8697274475914805,67.5
gradient_boosting,57,261,0.12448858961448492,0.2209914523886542,0.8794199008337564,0,0.587009615628473,45.50898203592814
gradient_boosting,58,248,0.102883164921683,0.14026916518686686,0.9905452793257092,0,0.7178409036910791,50.73891625615764
gradient_boosting,60,261,0.0909625569511106,0.11792491299483247,0.7845502468363577,0,-0.21201387874453093,30.612244897959183
gradient_boosting,61,261,0.029083964299658507,0.03990132073028762,0.20807788022135543,0,0.4041366052908437,54.166666666666664
ridge,3,261,0.07316913473097605,0.09684927533701405,7.357352391886322,0,0.8631354043096638,54.78927203065134
ridge,6,261,0.06375574297070645,0.10064332381954606,1.603843063756744,0,0.9441303013936905,38.53211009174312
ridge,8,261,0.0517719587421053,0.06109314267904792,0.4004955707530051,0,0.6990482078757564,38.46153846153847
ridge,10,261,0.050980648162568996,0.06091455599955807,0.833570723033843,0,0.9820738065254484,49.152542372881356
ridge,11,261,0.24908460998145404,0.2580514697339446,1.5579701537824857,0,0.6332241849051319,23.076923076923077
ridge,12,261,0.04549181869234015,0.05983725467360506,0.9140893655649563,0,0.9246674723065448,24.509803921568626
