model,row_count,mae,rmse,mape_percent,mape_excluded_zero_count,r2,fit_seconds,prediction_seconds,train_rows,validation_rows,test_rows,epochs
baseline_lag_1,1475,0.12433898305084744,0.4588481200660362,1.884512527453789,0,0.994766182017762,0.0,0.0004339000442996621,5563,1480,1475,
ridge,1475,0.17751338678909565,0.4841796972270407,2.614382058569064,0,0.994172344769146,0.002763699973002076,0.0002615000121295452,5563,1480,1475,
random_forest,1475,0.21144403448642426,0.512891907736996,3.044763045954129,0,0.9934606829286606,4.766334400046617,0.04009539994876832,5563,1480,1475,
gradient_boosting,1475,0.1964156075818111,0.5103708901524809,2.6613000565940075,0,0.9935248103477801,2.969291399931535,0.0087622000137344,5563,1480,1475,
lstm,1475,0.6937477853497004,1.141053278196605,12.144656189675592,0,0.9676337378305551,28.979041100014,0.4966725999256596,5563,1480,1475,22.0
gru,1475,0.60019009355836,0.941598442123261,10.80511478762927,0,0.9779599708703112,46.49306250002701,0.5223265999229625,5563,1480,1475,31.0
