segment,model,series_id,row_count,mae,rmse,mape_percent
all_validation,baseline_lag_1,3,32,0.012999999999999998,0.03288806774500441,1.5979620166650728
all_validation,baseline_lag_1,4,32,0.0,0.0,0.0
all_validation,baseline_lag_1,6,32,0.0,0.0,0.0
all_validation,baseline_lag_1,8,32,0.0,0.0,0.0
all_validation,baseline_lag_1,10,32,0.004843750000000008,0.027400387770978762,0.07516682184978286
all_validation,baseline_lag_1,11,32,0.0,0.0,0.0
all_validation,baseline_lag_1,12,32,0.0,0.0,0.0
all_validation,baseline_lag_1,13,32,0.0,0.0,0.0
all_validation,baseline_lag_1,14,32,0.0,0.0,0.0
all_validation,baseline_lag_1,16,32,0.42312500000000003,0.76878556828286,5.450187160936126
all_validation,baseline_lag_1,17,32,0.0,0.0,0.0
all_validation,baseline_lag_1,18,32,0.12656250000000002,0.2453473303298815,2.0474420618732885
all_validation,baseline_lag_1,19,32,0.30218749999999994,0.450690442543438,6.995222839426194
all_validation,baseline_lag_1,20,32,0.2574999999999999,0.5358462932595501,5.301780341929685
all_validation,baseline_lag_1,21,32,0.010312499999999988,0.03174606274800071,0.5780863500278388
all_validation,baseline_lag_1,22,32,0.384375,0.9302217477569529,2.9425290368058374
all_validation,baseline_lag_1,23,32,0.41909374999999993,0.8302429802473488,7.390787653016978
all_validation,baseline_lag_1,24,32,0.0,0.0,0.0
all_validation,baseline_lag_1,25,32,0.0,0.0,0.0
all_validation,baseline_lag_1,26,32,0.49531249999999993,0.9525254261698213,5.119732043486001
all_validation,baseline_lag_1,28,32,0.019218750000000003,0.04175037424981961,1.847647222205325
all_validation,baseline_lag_1,29,32,0.12490625,0.23450659638909946,4.966202453474847
all_validation,baseline_lag_1,30,32,0.16546875000000003,0.31216607158690396,4.558226135413434
all_validation,baseline_lag_1,31,32,0.08750000000000001,0.13720422734012244,4.158164555704843
all_validation,baseline_lag_1,32,32,0.018125000000000002,0.06234981956669961,0.7577342060639085
all_validation,baseline_lag_1,33,32,0.23749999999999993,0.41273478166977884,8.14109603324166
all_validation,baseline_lag_1,34,32,0.23593749999999997,0.5736015603186588,9.748719165402301
all_validation,baseline_lag_1,35,32,0.6671875,1.5255378150016472,5.6379203996309055
all_validation,baseline_lag_1,36,32,0.11578125,0.27815379064467194,2.65249869448929
all_validation,baseline_lag_1,37,32,0.11749999999999998,0.27634896417392263,4.850476853872153
all_validation,baseline_lag_1,38,32,0.047249999999999986,0.1292255779634976,1.0467289002410107
all_validation,baseline_lag_1,39,32,0.20437499999999997,0.5972750622619364,1.5549189992359027
all_validation,baseline_lag_1,40,32,0.014437500000000006,0.05774999999999998,0.68639791773396
all_validation,baseline_lag_1,41,32,0.0,0.0,0.0
all_validation,baseline_lag_1,44,32,0.011687500000000017,0.036698944126500495,0.4254500816737996
all_validation,baseline_lag_1,50,20,1.5449999999999997,3.789920843500561,9.069091956531539
all_validation,baseline_lag_1,51,20,0.242,0.45959765012454096,3.718603269519781
all_validation,baseline_lag_1,52,32,0.020843749999999994,0.11791005576285676,0.218648379313962
all_validation,baseline_lag_1,53,32,0.020843749999999994,0.11791005576285676,0.21415545052912763
