fold,model,horizon,row_count,mae,rmse,mape_percent
1,baseline_lag_1,1,366,0.07322677595628414,0.2618282870748848,1.5463337655446492
1,baseline_lag_1,2,274,0.1400729927007299,0.4111782340372425,2.8510520904614354
1,baseline_lag_1,3,273,0.17604029304029303,0.5824436491160363,3.305380110314272
1,baseline_lag_1,4,226,0.23769911504424776,0.7500832579156195,4.147594142815544
1,baseline_lag_1,5,182,0.30366483516483517,0.9653685426182702,4.817628061782245
1,baseline_lag_1,6,228,0.36246052631578946,1.0497056291621651,5.806055659242173
1,baseline_lag_1,7,273,0.3974908424908425,1.0578079466588686,6.60181580319741
1,gradient_boosting,1,366,0.1144512597086225,0.294017194761336,2.292866683687995
1,gradient_boosting,2,274,0.1852286990201622,0.41380117070680866,3.7089810666439362
1,gradient_boosting,3,273,0.22971165894639622,0.562846339617665,4.575641827485003
1,gradient_boosting,4,226,0.30715568834293205,0.7414314982830812,5.506622552033804
1,gradient_boosting,5,182,0.36831382582966826,0.9613565023110341,6.188539687779021
1,gradient_boosting,6,228,0.4267128806891422,1.0267340233219548,7.21053028664452
1,gradient_boosting,7,273,0.4696815333537241,1.031330061804751,8.251603599927805
1,ridge,1,366,0.09409236293542583,0.2603769688682536,2.1045035969956842
1,ridge,2,274,0.1553943206202375,0.41554917725459656,3.0688266650229337
1,ridge,3,273,0.19815098364973244,0.5695358706666193,3.9230278660115276
1,ridge,4,226,0.264565064447116,0.7205582397455254,4.999650668237696
1,ridge,5,182,0.3214682490170656,0.9367538428565573,5.380363138156766
1,ridge,6,228,0.38280894647564806,0.9985149177968834,6.903059555778522
1,ridge,7,273,0.40953266525268556,0.9786214363540573,7.724913266280102
2,baseline_lag_1,1,367,0.10125885558583105,0.38590292577264945,2.2054034251103474
2,baseline_lag_1,2,229,0.14390829694323143,0.4987865581265052,3.3813651320784914
2,baseline_lag_1,3,183,0.23532240437158466,0.6567885687523161,4.692835416998388
2,baseline_lag_1,4,183,0.24532240437158473,0.6428355898893707,4.568166145733686
2,baseline_lag_1,5,230,0.32346521739130435,0.7433155716991503,6.140275145398717
2,baseline_lag_1,6,276,0.4046195652173913,0.9039645629998005,7.84829397871106
2,baseline_lag_1,7,275,0.43400363636363637,0.9417256442780503,8.774607722072309
2,gradient_boosting,1,367,0.14323167168242978,0.4041048862564042,2.9642590715589683
2,gradient_boosting,2,229,0.21777675828863474,0.5386027515499575,4.632709880576307
2,gradient_boosting,3,183,0.30135776567582506,0.6633993553391825,5.825660373374186
2,gradient_boosting,4,183,0.3195639659728877,0.6283716448005202,6.265936124053251
2,gradient_boosting,5,230,0.3846488246550095,0.7080378147477382,7.72610787675664
2,gradient_boosting,6,276,0.4734868816501715,0.8982081219307507,9.857928604606977
2,gradient_boosting,7,275,0.5392363474387146,1.0593848826724162,10.95503001299987
2,ridge,1,367,0.14009643702805857,0.3992450934159969,2.9133408075476246
2,ridge,2,229,0.20223285266926194,0.5004526713806626,4.359318130034325
2,ridge,3,183,0.2824847681014265,0.6512171412545871,5.6720822264328685
2,ridge,4,183,0.30528886252022835,0.6423170802897508,6.0259417160807915
2,ridge,5,230,0.3759154459745988,0.7564373739591146,7.69806499661208
2,ridge,6,276,0.47930737427697667,1.0023963832032763,10.000878533025572
2,ridge,7,275,0.5142064613064853,0.9918293205895876,11.076965519492955
3,baseline_lag_1,1,329,0.1387446808510638,0.7001162148427319,1.9575425030400495
3,baseline_lag_1,2,188,0.24513829787234043,0.9403974374834992,3.1083119691366976
3,baseline_lag_1,3,188,0.20159574468085106,0.5750512928093476,3.1565608241088263
3,baseline_lag_1,4,235,0.2439914893617021,0.6188300973301978,4.055806130310664
3,baseline_lag_1,5,235,0.2850212765957446,0.9068372112234777,4.337840786277488
3,baseline_lag_1,6,235,0.3480893617021276,0.9692813284165858,5.275373594817916
3,baseline_lag_1,7,235,0.4205276595744681,1.0923586037327375,6.2567629669111255
3,gradient_boosting,1,329,0.20365456798799547,0.7229197851525738,2.7752648391995294
3,gradient_boosting,2,188,0.34849788288303185,1.0338588228454864,4.259695508038084
3,gradient_boosting,3,188,0.31276167441452657,0.7165309296656082,4.796152016706813
3,gradient_boosting,4,235,0.34640713280907004,0.7767127055307992,5.53286709303165
3,gradient_boosting,5,235,0.3582806214597107,0.8176208173767965,5.687825410098464
3,gradient_boosting,6,235,0.41494015743869844,0.8704040486380762,6.736420310974371
3,gradient_boosting,7,235,0.4893551483110384,0.999470622025105,7.872381107418345
3,ridge,1,329,0.17393482757266893,0.7179903395948357,2.546698410514047
3,ridge,2,188,0.28959952691260804,0.9748785681173141,3.9317685204466746
3,ridge,3,188,0.2736820167582085,0.6464282720812403,4.732000938375961
3,ridge,4,235,0.32536016776713916,0.7007660017589353,5.722840331404708
3,ridge,5,235,0.3368414605485631,0.9147086857387497,5.437749362535385
3,ridge,6,235,0.41253963990718756,0.9827506924732748,6.725320815745101
3,ridge,7,235,0.5035760560867635,1.1470276710388057,8.089780199504306
