model,mean_horizon_mae,mean_horizon_rmse,mean_horizon_mape_percent,pooled_mae,pooled_rmse,pooled_mape_percent
baseline_lag_1,0.2586349101947672,0.7498314507634409,4.523289541532376,0.25171919385796543,0.7656639594811607,4.407683565950964
ridge,0.3048389093924357,0.7623586782533137,5.671999661324719,0.29711408157385244,0.7775550475078238,5.533620053074399
gradient_boosting,0.3289595313704563,0.7607875523173548,5.893641451004219,0.3205862487696339,0.7707515808534475,5.7446361890239395
